titles,category
complete genome of bacillus velezensis aygs     a strain with antimicrobial activity isolated from sediment of nakdong river in korea,생물학
complete genome sequence of vibrio parahaemolyticus mfds        isolated from raw fish,생물학
complete genome sequence of pathogenic vibrio alginolyticus ebvib     isolated from seawater  south korea,생물학
complete genome sequence of fusarium kyushuense wfk    isolated from vulpia myuros near a rice field in korea,생물학
complete genome sequence of bacteriophage vb xeum yb    a new member of the genus bosavirus that infects xanthomonas euvesicatoria,생물학
complete genome sequence of multidrug resistant salmonella typhimurium strain z     ssl     isolated from swine,생물학
antimicrobial effects of copper fiber content in polyester fabrics,생물학
complete genome sequence of streptomyces sp  mms   ddsa   a soil actinobacterium exhibiting antifungal activity,생물학
complete genome sequence of bacillus velezensis jbcs    isolated from rhizosphere soil,생물학
complete genome sequence of the biotype   vibrio vulnificus isolated from diseased pacific shortfin eel  anguilla bicolor pacifica  cultured in korea,생물학
complete genome of aquidulcibacter sp  strain   mk      r     isolated from the nakdong river  associated with cyanobacterial algal blooms,생물학
complete genome sequence of staphylococcus aureus mfds        isolated from chicken mayo rice,생물학
complete genome sequence of multidrug resistant enterococcus faecalis strain cf a      isolated from feces of a pig,생물학
a genetic incorporation of p azido l phenylalanine by variants derived from the saccharomyces cerevisiae tyrosyl trna synthetase in e  coli,생물학
genome sequence of microbacterium sp  stf   isolated from expanded polystyrene in landfill,생물학
complete genome sequence of enteropathogenic escherichia coli mfds        isolated from donut,생물학
planning non invasive conservation genetic experiments based on factors affecting dna amplification using fecal samples of korean long tailed goral  naemorhedus caudatus ,생물학
strengthening the korean network of microbial culture collections in the microbiome era,생물학
enhancing eritadenine production in submerged cultures of shiitake   lentinula edodes berk  pegler  using blue led light and activated charcoal  revealing eritadenine s novel in vitro bioherbicidal activity against chrysanthemum morifolium,생물학
re identification of strains from aspergillus section aspergillus and description of three unrecorded species from korea,생물학
notes of five wood decaying fungi from juwangsan national park in korea,생물학
cloning and expression analysis of bioluminescence genes in omphalotus guepiniiformis reveal stress dependent regulation of bioluminescence,생물학
novel sarcoscypha species from national parks in korea  sarcoscypha humida sp  nov ,생물학
a new species of ganoderma  ganodermataceae  polyporales  from southern china and optimum condition for mycelia production,생물학
re identification of aspergillus subgenus nidulantes strains and description of three unrecorded species from korea,생물학
fungal diversity in nam river and their biodegradative activities,생물학
emergence and potential spread of rust disease on wisteria floribunda and corydalis incisa influenced by climate change in korea,생물학
effects of black and white mulch on mycelial growth of tuber species in korean field environment,생물학
inoculants of arbuscular mycorrhizal fungi influence growth and biomass of terminalia arjuna under amendment and anamendment entisol,생물학
molecular identification of a new species of absidia  cunninghamellaceae  mucorales  isolated from soil in korea,생물학
taxonomic re evaluation of the genus fuscoporia in the republic of korea including three unrecorded species,생물학
phylogenetic and morphological analysis of a novel tolypocladium species isolated from soil in south korea,생물학
correction,생물학
comparative study of mechanical and biological pretreatment for releasing spores of black truffle tuber aestivum,생물학
comparative analysis of rhizosphere fungal communities in korean fir trees,생물학
identification of pseudoperonospora cubensis rxlr effector genes via genome sequencing,생물학
environmental detoxification of benzimidazole fungicide fuberidazole via microbial action in liquid cultures,생물학
reassessing the genetic lineage tracing of lingual lgr    and lgr    cells in vivo,생물학
the nasal lymphatic route of csf outflow  implications for neurodegenerative disease diagnosis and monitoring,생물학
endothelial periostin regulates vascular remodeling by promoting endothelial dysfunction in pulmonary arterial hypertension,생물학
eugenol ameliorates uveitis in mice with experimental autoimmune encephalomyelitis through the suppression of key inflammatory genes,생물학
circadian coordination  understanding interplay between circadian clock and mitochondria,생물학
tortoise shell glue ameliorates male infertility through the hypothalamic pituitary gonadal axis in obese rats,생물학
role of carbohydrate response element binding protein in mediating dexamethasone induced glucose transporter   expression in caco  bbe cells and during the developmental phase in mice,생물학
effect of aerobic exercise and particulate matter exposure duration on the diversity of gut microbiota,생물학
identifying candidate genes associated with hippocampal dysfunction in a hemiparkinsonian rat model by transcriptomic profiling,생물학
inducing aortic aneurysm dissection in zebrafish  evaluating the efficacy of   aminopropionic nitrile as a model,생물학
ca    homeostasis and male fertility  a target for a new male contraceptive system,생물학
unraveling the structure  chemical composition  and conserved signaling in leech teeth,생물학
new insight of square stepping exercise in immune fine tuning for anticipating emerging pandemics,생물학
blocking slc a   attenuates the proliferation of esophageal squamous cell carcinoma cells,생물학
anti obesity and immunomodulatory effects of oil and fermented extract dried from tenebrio molitor larvae on aged obese mice,생물학
generation of mouse and rat xenogeneic ovaries in vitro for production of mouse oocyte,생물학
lamin a c facilitates dna damage response by modulating atm signaling and homologous recombination pathways,생물학
camellia sinensis l  alleviates ova induced allergic asthma through nf  b and mmp   pathways,생물학
gender specific alteration of steroid metabolism and its impact on viral replication in a mouse model of hepatitis b virus infection,생물학
cxcl   promotes melanoma angiogenesis and tumor growth,생물학
low temperature pulverization specific sargassum horneri extract accelerates wound healing and attenuates inflammation in a mouse burn model,생물학
roles of prion proteins in mammalian development,생물학
emerging roles of cytoskeletal transport and scaffold systems in human viral propagation,생물학
ank mediated pyrophosphate regulates shear stress induced small extracellular vesicle production in  d cultured osteocytes,생물학
report of five unrecorded bacterial species in korea belonging to the genus bradyrhizobium,생물학
taxonomic review of korean ephemera linnaeus with lectotype designation of e  sachalinensis matsumura  insecta  ephemeroptera  ephemeridae ,생물학
comparative expression analysis of drought stress responsive genes by districts of korean fir  abies koreana  in mt  halla,생물학
지리산국립공원 산림 탄소 흡수량 및 식생가치 기반 보호관리 우선순위 평가 연구,생물학
ultrastructure and molecular phylogeny of mesodinium annulatum sp  nov   mesodiniidae  cyclotrichiida   a new member of the mesodinium rubrum   mesodinium major complex,생물학
physiology of cellular prion proteins in reproduction,생물학
yeast small ubiquitin like modifier  sumo  protease ulp  is involved in rna splicing,생물학
a potential role of fgf   fgf    and fgf   in pharyngeal pouch formation in zebrafish,생물학
benford s law and its potential for data verification in ecological monitoring,생물학
deletion or duplication syndromes of chromosome     review,생물학
mapk cascades in plant microbiota structure and functioning,생물학
correlation between rab a expression and sperm kinematic characteristics,생물학
temporal changes in the local expression of central hormone regulating factors in rat testis,생물학
dietary exposure of the water flea daphnia galeata to microcystin lr,생물학
transcriptional corepressor activity of ctbp  is regulated by isg   modification,생물학
factors affecting the cleavage efficiency of the crispr cas  system,생물학
sonic vibration ameliorates inflammatory diseases via the up regulation of il   ,생물학
ginkgo biloba extract ameliorates skin fibrosis in a bleomycin induced mouse model of systemic sclerosis,생물학
the impact of meis  tale homeodomain transcription factor knockdown on glioma stem cell growth,생물학
scoparone attenuates pd l  expression in human breast cancer cells by mkp   upregulation,생물학
hspa  and fgfr  genes in the mesenchymal subtype of glioblastoma can improve a treatment efficacy,생물학
mir    and mir     regulate trail induced drug tolerance in lung cancer,생물학
producing highly effective extracellular vesicles using ibar and talin f  domain fusion,생물학
effect of rnf   a deficiency on oxidative stress induced nrf  pathway,생물학
cell autonomous reduction of cyfip  changes dendrite length  dendritic protrusion morphology  and inhibitory synapse density in the hippocampal ca  pyramidal neurons of    month old mice,생물학
establishment of a stress granule reporter system for evaluating in vitro colon toxicity,생물학
ecm stiffness regulates calcium influx into mitochondria via tubulin and vdac  activity,생물학
licochalcone a attenuates nmda induced neurotoxicity,생물학
escrt iii  a versatile membrane remodeling machinery and its implications in cellular processes and diseases,생물학
nitrogen doped carbon quantum dot regulates cell proliferation and differentiation by endoplasmic reticulum stress,생물학
effects of maternal nonylphenol exposure on the proliferation of glial cells in the brain of male offspring mice,생물학
piperlongumine regulates genes involved in the skin barrier in epidermal keratinocyte hacat cells,생물학
ap         promotes the proliferation of esophageal squamous cell carcinoma cells by histone lactylation  and nf  b  p    dependent transcription activation and mettl  mediated mrna stability of c myc,생물학
integrative transcriptomic profiling uncovers immune and functional responses to bisphenol a across multiple tissues in male mice,생물학
reprogramming of tumor associated macrophages by metabolites generated from tumor microenvironment,생물학
improved understanding of the macrofungal diversity of mongolia  species richness  conservation status  and an annotated checklist,생물학
fungal microbiome of alive and dead korean fir in its native habitats,생물학
triangularia manubriata sp  nov   a novel fungal species belonging to the family podosporaceae isolated from soil in korea,생물학
miracula polaris   a new species of miracula from the east fjords of iceland,생물학
effects of environmental and nutritional conditions on mycelium growth of three basidiomycota,생물학
taxonomy  phylogeny  and host expansion of powdery mildew fungi parasitic to veronica species,생물학
antifungal activity of   hydrazinoquinoxaline    thiol  a novel quinoxaline derivative against candida species,생물학
the unknown within the known  nucleolus  understudied compartment in the filamentous fungi,생물학
pythium aphanidermatum as a novel oomycete pathogen causing leak on potato  solanum tuberosum  in korea,생물학
designing a novel primer set for gapdh gene to enhance taxonomic and phylogenetic studies of golovinomyces species,생물학
morphological and phylogenetic characterization of trichomerium koreanum sp  nov  and exophiala radicis belonging to chaetothyriales fungi in korea,생물학
degradation of high concentrations of anthracene using white rot wood inhabiting fungi and investigation of enzyme activities,생물학
a new edible wild mushroom species  panus sribuabanensis  panaceae  polyporales  from northern thailand and its nutritional composition  total phenolic content  and antioxidant activity,생물학
a story between s and s   het s  prion of the fungus podospora anserina,생물학
diversity and community structure of endophytic fungi isolated from the brown seaweed sargassum thunbergii in coastal regions of korea,생물학
description of    unrecorded bacterial species in korea  isolated from freshwater in     ,생물학
new record of two spirotrichous ciliate species  protozoa  ciliophora  collected from coasts of south korea,생물학
characterization of two unrecorded yeast species  starmerella apicola and symmetrospora symmetrica  isolated from apis mellifera and citrus sunki in republic of korea,생물학
a report of   unrecorded haloarchaea species from seawater samples near dokdo island  korea,생물학
isolation and characterization of two unreported yeast species from wildflowers and mountain soil in korea in the families filobasidiaceae and piskurozymaceae,생물학
list of insect collection by du myung seok preserved at kyushu university in japan,생물학
new record of marine scuticociliates and euplotids  protozoa  ciliophora  from coastal waters of south korea,생물학
a review of host and nectar plants of endangered butterflies in south korea,생물학
recent detection of an invasive termite species coptotermes formosanus,생물학
overexpression of hypermethylated homeobox a    hoxa    inhibits tumor cell growth and induces apoptosis in cervical cancer,생물학
characteristics of wintering habitat use by black tailed gulls  larus crassirostris  on the west coast of korea,생물학
first report of the leopard slug  limax maximus   a new alien species in republic of korea,생물학
new record of two non native sternotherus turtles in the wild of south korea,생물학
alien hitchhiker insect species detected from international vessels entering korea in     ,생물학
clinical application of abo genotyping     years  experience in the southeastern korea,생물학
gonadotropins regulate the mrna expression of gonadotropin releasing hormone and its receptors in the mouse ovary and uterus,생물학
sensory nerve and neuropeptide diversity in adipose tissues,생물학
taxonomic and distributional notes on four recently described stenaelurillus species from india  araneae  salticidae ,생물학
a new record of rondibilis amanoi  hayashi   coleoptera  cerambycidae  lamiinae  from korea with a key to korean rondibilis species,생물학
two genera  stenaesthetus sharp and octavius fauvel  coleoptera  staphylinidae  euaesthetinae   new to korea,생물학
molecular phylogeny and taxonomic review of the family pomacentridae from korea,생물학
are aquatic plants really endangered in tajikistan  core area of the mountains of central asia global biodiversity hotspot  ,생물학
a study on the intertidal animal diversity of xia sanheng island by using morphological and dna barcoding identification,생물학
taxonomic review of the genus hishimonus ishihara  hemiptera  auchenorrhyncha  cicadellidae  deltocephalinae  from korea,생물학
complete chloroplast genome of saxifraga fortunei var  pilosissima  saxifragaceae  endemic to ulleung do island  korea,생물학
a record of the northernmost location of otus elegans in the pacific area,생물학
plastome sequencing of gymnanthemum amygdalinum and phylogenetic analysis of    newly assembled asteraceae plastomes,생물학
four new records of the genus cis latreille  coleoptera  ciidae  from korea,생물학
a new species of pond frog phrynoderma  anura  dicroglossidae  from the coastal plains of maharashtra  western india coastal plains of maharashtra  western india,생물학
다도해해상국립공원 칠발도의 식생 및 바다제비 둥지 분포 특성,생물학
전북특별자치도 도립공원 미래 탐방수요 예측,생물학
retrotransposons and dna transposons  insights into evolutionary genomics,생물학
치악산국립공원 일대의 어류군집 분석,생물학
evaluating the antimicrobial efficacy of a designed synthetic peptide against pathogenic bacteria,생물학
가야산국립공원 곤충 다양성과 조사방법 간 군집 비교    기 자연자원조사를 중심으로,생물학
vascular plants of naejangsan national par,생물학
isolation of heavy metal tolerant and anti phytopathogenic plant growth promoting bacteria from soils,생물학
development of recombinant antibodies and its application in immunomagnetic separation based rapid detection of vibrio cholerae in aquatic environments,생물학
antimelanogenic and antioxidant effects of postbioics of lactobacillus strains in   msh induced b  f   melanoma cells via creb mitf and mapks signaling pathway,생물학
newly identified pluteus eos  pluteaceae  agaricales  in korea,생물학
high throughput sequencing analysis of microbiota and enzyme activities in xiaoqu from seven provinces in southern china,생물학
phlorotannin supplement improves scopolamine induced memory dysfunction by rescuing synaptic damage in mice,생물학
novel gnd v  fusion tag and engineered tev protease enable efficient production of brazzein,생물학
peperomia pellucida  s ingredients  antioxidant properties  and safe usage as food and herbal medicine,생물학
deleterious effects of histidine tagging to the sh b cell wall binding domain on recombinant endolysin activity,생물학
reconstitution of the mevalonate pathway for improvement of isoprenoid production and industrial applicability in escherichia coli,생물학
optimization of electroporation conditions for introducing heterologous dna into rhodobacter sphaeroides,생물학
antimicrobial activity of cold atmospheric plasma on bacterial strains derived from patients with diabetic foot ulcers,생물학
impact of mitophagy related genes on the diagnosis and development of esophageal squamous cell carcinoma via single cell rna seq analysis and machine learning algorithms,생물학
comparison of plasmid curing efficiency across five lactic acid bacterial species,생물학
conductive bio harvesting tonic  cbt  with an anti dandruff effect enhances hair growth by utilizing naturally generated electric energy during human activities,생물학
genomic characterization and comparative analysis of streptococcus zhangguiae sp  nov  isolated from the respiratory tract of marmota himalayana,생물학
the impact of makgeolli consumption on gut microbiota  an enterotype based preliminary study,생물학
characterization and comparative genomic analysis of vb bcem cep   a novel temperate bacteriophage infecting burkholderia cepacia complex,생물학
genomic characterization and comparative analysis of streptococcus zhangguiae sp  nov  isolated from the respiratory tract of marmota himalayana,생물학
the impact of makgeolli consumption on gut microbiota  an enterotype based preliminary study,생물학
characterization and comparative genomic analysis of vb bcem cep   a novel temperate bacteriophage infecting burkholderia cepacia complex,생물학
retrotransposons and dna transposons  insights into evolutionary genomics,생물학
discovery and genome wide characterization of a novel miniature inverted repeat transposable element reveal genome specific distribution in glycine,생물학
transcriptome analysis of the effect of herv k env gene knockout in ovarian cancer cell lines,생물학
genomic analyses of intricate interaction of te lncrna overlapping genes with mirnas in human diseases,생물학
transposable elements contribute to tissue specific gene regulation in humans,생물학
species identification method via unique genetic markers for reticulitermes kanmonensis,생물학
host specific mutation patterns and replication characteristics of shaan virus of bat origin by host switching,생물학
development and validation of a multiplex pcr assay for the simultaneous detection of four lm maize events in environmental monitoring,생물학
newly identified pluteus eos  pluteaceae  agaricales  in korea,생물학
establishment of a small cell lung cancer  sclc  mouse model using enhanced cancer stem cell functioning  d sclc spheroids,생물학
analysis of fatty acid compositions and acid values of krill oil supplementary products from the korean market,생물학
the first report of the feather mite alloptes obtusolobus  acari  alloptidae  from the vega gull larus vegae  charadriiformes  laridae  in korea,생물학
refining the diagnosis and treatment of cubital tunnel syndrome  a comprehensive review of anatomy and surgical approaches,생물학
is the ossification of the posterior longitudinal ligament a positive factor for the fusion after posterior cervical fusion and decompression ,생물학
prediction model of spinal osteoporosis using lumbar spine x ray from transfer learning deep convolutional neural networks,생물학
intraneural and extraneural ganglion cysts at the greater sciatic notch involving the sciatic nerve causing sciatica  two case reports,생물학
spinal upper thoracic extradural meningioma  a case report and literature review,생물학
thoracic myelopathy resulting from a ventral osteosclerotic lesion  a rare case report,생물학
a case of single surgical removal of two distinct meningiomas with different world health organization grades and subtypes in an elderly patient,생물학
recurrent large spinal hemangioendothelioma  a rare case report,생물학
recent advances of nipah virus disease  pathobiology to treatment and vaccine advancement,생물학
environmental adaptability and roles in ammonia oxidation of aerobic ammonia oxidizing microorganisms in the surface sediments of east china sea,생물학
the gut microbiota mediates the protective effects of spironolactone on myocardial infarction,생물학
upgrading isoquercitrin concentration via submerge fermentation of mulberry fruit extract with edible probiotics to suppress gene targets for controlling kidney cancer and inflammation,생물학
unexpected requirement of small amino acids at position     for dna binding in the escherichia coli camp receptor protein,생물학
adp glucose pyrophosphorylase gene family in soybean and implications in drought stress tolerance,생물학
association between tgf   bmp signaling pathway polymorphisms and the risk of primary ovarian insufficiency in korean women,생물학
purposive breeding strategies drive genetic differentiation in thai fighting cock breeds,생물학
transcriptome based screening and validation of key genes for wool color in cashmere goats,생물학
carotenoid producing paracoccus aurantius sp  nov   isolated from the west coast of dokdo island  republic of korea,생물학
screening of antagonistic bacteria against three aquatic pathogens and characterization of lipopeptides in bacillus cereus ba  ,생물학
natural inhibitory treatment of fungi induced deterioration of carbonate and cellulosic ancient monuments  isolation  identification and simulation of biogenic deterioration,생물학
inhibitory activity of sparassis latifolia on the lipid accumulation through suppressing adipogenesis and activating lipolysis in  t  l  cells,생물학
limosilactobacillus fermentum slam     derived extracellular vesicles promote intestinal maturation in mouse organoid models,생물학
validation of active compound of terminalia catappa l  extract and its anti inflammatory and antioxidant properties by regulating mitochondrial dysfunction and cellular signaling pathways,생물학
warm temperate evergreen pterophytes of korea,생물학
comparative morphology and anatomy of korean boehmeria achenes and their taxonomic significance,생물학
taxonomic revision of physalis species  solanaceae  in korea,생물학
two new plant records  alangium kurzii  cornaceae  and ficus racemosa  moraceae   in bhutan and corresponding distributions,생물학
astragalus arbuscula  fabaceae   a new record for mongolian flora,생물학
development and characterization of    polymorphic microsatellite markers for hepatica insularis  ranunculaceae  endemic to the korean peninsula,생물학
new records of two unreported fungal species  cladophialophora floridana and chloridium setosum isolated from soil in korea,생물학
three new records of peziza species  pezizaceae  ascomycota  from the republic of korea,생물학
first report of hamigera ingelheimensis isolated from cheoltan mountain in korea,생물학
microrna       p suppresses the proliferation  invasion and migration of oral squamous cell carcinoma by inhibiting f  a  expression,생물학
chl  promotes autophagy and apoptosis of multiple myeloma cells via inhibiting the hedgehog pathway,생물학
wtap accelerates keloids formation by mediating m a modification of hoxa  to suppress p   pathway,생물학
ml    suppresses the proliferation  migration  and invasion of thyroid carcinoma cells by impairing aerobic glycolysis,생물학
mir   b  p exerts protective effects against experimental autoimmune encephalomyelitis in mice by inhibiting nlrp  transcription and nlrp  asc caspase   axis activation,생물학
circ         promotes breast cancer cell proliferation  metastasis and stemness by mediating col  a  through the regulation of mir     ,생물학
role of creb  dysregulation in calcium oxalate monohydrate crystals induced tubular epithelial cell injury,생물학
claudin   overexpression correlates with proliferation and migration in gastric cancer,생물학
cheong sang gyeon tong tang improves hepatic steatosis by regulating cholesterol metabolism,생물학
ursolic acid inhibits autophagy dependent neuronal cell death by reducing oxidative stress levels in an in vitro model of parkinson s disease,생물학
first records of two bothrostoma species  ciliophora  armophorea  metopidae  from korea,생물학
astragalus arbuscula  fabaceae   a new record for mongolian flora,생물학
three new records of peziza species  pezizaceae  ascomycota  from the republic of korea,생물학
genotoxicity evaluation of collagen peptide derived from skate  raja kenojei  skin  in vitro and in vivo studies,생물학
establishment of a small cell lung cancer  sclc  mouse model using enhanced cancer stem cell functioning  d sclc spheroids,생물학
the growing potential of long read sequencing in identifying previously elusive causative variants in patients with undiagnosed rare diseases,생물학
warm temperate evergreen pterophytes of korea,생물학
comparative morphology and anatomy of korean boehmeria achenes and their taxonomic significance,생물학
taxonomic revision of physalis species  solanaceae  in korea,생물학
two new plant records  alangium kurzii  cornaceae  and ficus racemosa  moraceae   in bhutan and corresponding distributions,생물학
development and characterization of    polymorphic microsatellite markers for hepatica insularis  ranunculaceae  endemic to the korean peninsula,생물학
actn  defects accelerates h c  hypertrophy via erk phosphorylation under chronic stress,생물학
genome wide identification of cold shock proteins  csps  in sweet cherry  prunus avium l   and exploring the differential responses of pavcsp  and pavcsp  to low temperature and salt stress,생물학
a novel compound heterozygous mutation of ufc  in a patient with neurodevelopmental disorder,생물학
gut microbiome and colorectal cancer  discovery of bacterial changes with metagenomics application in turk sh population,생물학
discovery of high expressing lncrna derived sorfs as potential tumor associated antigens in hepatocellular carcinoma,생물학
characterization of the complete mitochondrial genome of a newly discovered torrent catfish  liobagrus geumgangensis  and their phylogenetic relationships,생물학
mbp fusion proteins  enhanced expression and solubility  unexpected cleavage dilemma,생물학
the methyltransferase cmom from fusobacterium nucleatum  purification  crystallization  and x ray crystallographic analysis,생물학
increased azithromycin resistance observed in clinical chlamydia trachomatis isolates  an in vitro induction model,생물학
improving antistress capacity and lipid productivity in the green alga chlorella pyrenoidosa by adding abscisic acid under salt stress conditions,생물학
quantitative detection of pythium porphyrae and pythium chondricola  oomycota   the causative agents of red rot disease in pyropia farms in china,생물학
exploring the nutritional biochemical profiles and biological functions in the green microalga chlorella fusca,생물학
using synbiotics as a therapy to protect mental health in alzheimer s disease,생물학
effects of metal and metal oxide nanoparticles against biofilm forming bacteria  a systematic review,생물학
antidepressant effect and mechanism of picea mariana essential oil on reserpine induced depression model mice,생물학
impact of high temperature feeds on gut microbiota and mafld,생물학
icp     promotes hair growth by activating the ampk autophagy signaling pathway,생물학
mesorhizobium koreense sp  nov   isolated from soil,생물학
identification and characterization of an r m system in paracoccus denitrifican dytn   to improve the plasmid conjugation transfer efficiency,생물학
novel insights into cr vi  induced rhamnolipid production and gene expression in pseudomonas aeruginosa rw  for potential bioremediation,생물학
analyzing the effect of microbial consortia fermentation on the quality of hnb by untargeted metabolomics,생물학
study on optimization of liquid fermentation medium and antitumor activity of the mycelium on phyllopora lonicerae,생물학
sensitive and enzyme free pseudomonas aeruginosa detection and isolation via dnazyme cascade triggered dna tweezer,생물학
엽록소 형광 기술을 활용한 배나무 화상병 방제 약제 효과 분석,생물학
distribution pattern of a new record crustose red alga  lithophyllum neo okamurae  corallinales  rhodophyta   in korea,생물학
생태계교란 생물인 블루길 lepomis macrochirus 의 서식 환경에 따른 먹이원 섭식 특성 분석,생물학
매생이 capsosiphon fulvescens 의 인공종자 생산을 위한 구상체 형성 및 생장 조건 분석,생물학
a taxonomic review of the genus silvanoprus reitter  coleoptera  cucujoidea  silvanidae  in korea,생물학
taxonomic notes on the korean intertidal ground beetle species of the genus bembidion  coleoptera  carabidae ,생물학
unraveling the phylogenetic position of a korean endemic species indigofera koreana  fabaceae  through plastid genome analysis,생물학
live owls in japanese pet stores and caf s  volumes  species  and impediments to effective trade monitoring,생물학
a new species of pangora moore       lepidoptera  erebidae  from india based on dna barcoding and internal genitalia,생물학
assessment of biodiversity and seasonal dynamics of spiders in maize crops of punjab  pakistan,생물학
didymocyrtis pertusariae  a new species from central himalaya  india and a worldwide key to all recognized didymocyrtis  phaeosphaeriaceae  pleosporales  species,생물학
the mitochondrial genome of a carnivorous lucanid  figulus punctatus waterhouse        coleoptera  lucanidae ,생물학
complete chloroplast genome sequences of dracocephalum argunense and d  integrifolium  lamiaceae  nepetinae ,생물학
microbiome mucosal immunity nexus  driving forces in respiratory disease progression,생물학
identification of orb web spider species and their food source through environmental dna analysis,생물학
comparison of plant species diversity and its relationship with physical environmental factors in gotjawal forest  jeju island  republic of korea  using the modified whittaker plot method,생물학
peatland restoration research  a global overview with insights from indonesia,생물학
a comprehensive review of coreopsis lanceolata  assessing its invasion risk and ecological impact,생물학
compromised compensation  evaluating the fitness costs of tolerance responses in plants facing herbivore induced delayed germination and intraspecific competition,생물학
indigenous traditional knowledge and ethnobotanical flora  a quantitative assessment of medicinal flora of fateh pur thakyala  azad jammu  and kashmir  pakistan,생물학
compensatory growth under leaf damage of herbal vine aristolochia contorta depends on the light availability,생물학
carbon stocks of humbo farmer managed natural regeneration forest along altitudinal gradients  southern ethiopia,생물학
monitoring  collecting  and validating data of inland wetland survey based on citizen science methodology,생물학
siderophore biosynthesis and transport systems in model and pathogenic fungi,생물학
mutations affecting cellular levels of cobalamin  vitamin b      confer tolerance to bactericidal antibiotics in burkholderia cenocepacia,생물학
sequencing methods to study the microbiome with antibiotic resistance genes in patients with pulmonary infections,생물학
arctigenin from burdock root exhibits potent antibacterial and anti virulence properties against pseudomonas aeruginosa,생물학
uncovering the antibacterial potential of a peptide rich extract of edible bird s nest against staphylococcus aureus,생물학
induction of cell death by bifidobacterium infantis ds     in colorectal and breast cancers via smad  tgf beta activation,생물학
effects of microplastic exposure against white spot syndrome virus infection in pacific white shrimp   penaeus vannamei  ,생물학
effects of exocellobiohydrolase cbha on fermentation of tobacco leaves,생물학
strongylocentrotus intermedius extract suppresses adiposity by inhibiting adipogenesis and promoting adipocyte browning via ampk activation in  t  l  cells,생물학
taxonomic review of the genus taeniogonalos schulz hymenoptera  trigonalyoidea  trigonalyidae  from korea  with a description of the male of t  sauteri,생물학
new record of vishniacozyma pseudocarnescens  basidiomycetous yeast species isolated from flowers in korea,생물학
new distribution record of genus rhyssemus mulsant coleoptera  scarabaeidae  aphodiinae  from south korea,생물학
a report of    unrecorded bacterial species isolated from island and coastal ecosystems in     ,생물학
first record of the beetle family georissidae  coleoptera  in korea  with a mtdna information of a species,생물학
a new species of brianola monard        copepoda  harpacticoida  canuellidae  from rawai beach  phuket island  thailand,생물학
